32965,CORI
32970,CSOR
32970,CEST
32970,CTRE
32972,CMAS
32972,CORI
32972,CFON
32973,CSOR
32973,CEST
32973,CTRE
32977,CEST
32977,CSOR
32977,CORG
32977,CAVN
32978,CCAS
32980,CEST
32980,CSOR
32980,CTRE
32981,CLLI
32981,CBRU
32981,CORI
32981,CORG
32998,CEST
32998,CSOR
32998,CAVN
33002,CTRE
33002,CSOR
33002,CEST
33003,CORG
33003,CSOR
33003,CEST
33004,CFON
33004,CORI
33004,CGAR
33004,CCAS
33004,CBEU
33004,CLLI
33005,CSOR
33005,CORG
33008,CEST
33008,CSOR
33008,CTRE
33008,CORG
33008,CAVN
33008,CLLI
33010,CBRU
33010,CLLI
33010,CORI
33010,CBEU
33010,CFON
33010,CCAS
33010,CPAL
33010,CEST
33010,CSOR
33010,CGAR
33010,CTRE
33010,CAVN
33026,CEST
33026,CSOR
33026,CORG
33026,CLLI
33026,CTRE
33026,CBRU
33026,CORI
33026,CBEU
33026,CFON
33027,CEST
33027,CSOR
33029,CLLI
33029,CBRU
33029,CAVN
33030,CBRU
33030,CLLI
33033,CBRU
33033,CORI
33034,CTRE
33034,CEST
33034,CSOR
33034,CORG
33034,CAVN
33037,CEST
33037,CTRE
33037,CAVN
33037,CFON
33038,CSOR
33038,CEST
33038,CTRE
33038,CAVN
33038,CFON
33054,CFON
33057,CTRE
33057,CSOR
33057,CEST
33057,CORG
33057,CLLI
33057,CORI
33062,CEST
33062,CSOR
33062,CTRE
33062,CORG
33063,CEST
33063,CSOR
33063,CTRE
33063,CORG
33064,CEST
33064,CSOR
33064,CTRE
33064,CORG
33065,CEST
33065,CSOR
33065,CTRE
33065,CORG
33066,CBRU
33066,CEST
33066,CORI
33066,CFON
33067,CEST
33067,CSOR
33067,CAVN
33069,CLLI
33069,CBRU
33073,CLLI
33073,CEST
33073,CSOR
33073,CORG
33074,CBRU
33076,CFON
33078,CFON
33079,CFON
33079,CBEU
33080,CCAS
33080,CFON
33081,CEST
33081,CSOR
33082,CLLI
33082,CBRU
33093,CBRU
33093,CLLI
33093,CBEU
33093,CORG
33093,CSOR
33093,CPAL
33093,CAVN
33094,CEST
33095,CEST
33095,CSOR
33095,CORG
33095,CTRE
33096,CEST
33096,CSOR
33096,CTRE
33097,CEST
33097,CSOR
33097,CTRE
33097,CORG
33097,CAVN
33097,CORI
33097,CBEU
33098,CEST
33098,CSOR
33098,CORG
33098,CTRE
33098,CLLI
33100,ARBS
33100,CEST
33101,ARBS
33102,ARBS
33105,ARBS
33105,CSOR
33106,ARBS
33106,CSOR
33107,ARBS
33107,CSOR
33109,ARBS
33111,ARBS
33111,CSOR
33112,ARBS
33112,CSOR
33121,CSOR
33121,CTRE
33121,CORG
33121,CLLI
33121,CAVN
33121,CBRU
33123,CSOR
33123,CEST
33123,CTRE
33123,CAVN
33123,CORI
33123,CFON
33124,CEST
33124,CSOR
33124,CTRE
33124,ARBS
33124,CAVN
33124,CORI
33128,CSOR
33128,CTRE
33132,CTRE
33132,FMON
33132,CSOR
33132,CEST
33132,MLS
33132,CORG
33132,CAVN
33132,ATE
33132,CBEU
33132,SJAF
33133,CLLI
33133,ARBS
33133,CBRU
33133,CEST
33133,CORG
33133,CSOR
33133,CFON
33134,ARBS
33134,CORG
33134,CSOR
33134,CEST
33135,ARBS
33146,CSOR
33146,CTRE
33146,CORG
33146,ARBS
33148,CORG
33148,CSOR
33148,CEST
33148,CTRE
33149,ARBS
33154,CCAS
33154,CFON
33155,CCAS
33157,CSOR
33157,CEST
33158,CEST
33158,ARBS
33158,CAVN
33158,CBEU
33158,CFON
33159,CBEU
33159,CFON
33160,CBRU
33160,CBEU
33160,CFON
33162,CLLI
33162,ARBS
33162,CBRU
33162,CEST
33162,CFON
33162,CAVN
33163,CCAS
33163,CFON
33163,CBRU
33164,CEST
33164,CSOR
33164,CTRE
33168,CEST
33168,CSOR
33168,ARBS
33168,CAVN
33169,CSOR
33169,ARBS
33169,CTRE
33169,CAVN
33173,CBRU
33173,CBEU
33173,CLLI
33173,CFON
33173,ARBS
33173,CSOR
33173,CTRE
33174,ARBS
33175,CSOR
33175,ARBS
33175,CTRE
33177,ARBS
33178,CEST
33178,CSOR
33178,ARBS
33178,CTRE
33178,CORG
33178,CLLI
33178,CBRU
33178,CORI
33178,CBEU
33178,CFON
33178,CPAL
33178,CCAS
33178,CMAS
33180,CCAS
33180,CFON
33180,CBEU
33187,CTRE
33187,CEST
33187,CSOR
33187,CORG
33187,ARBS
33187,CAVN
33190,CEST
33190,CSOR
33190,CTRE
33190,ARBS
33190,CAVN
33195,CSOR
33195,CTRE
33195,ARBS
33196,CCAS
33196,CFON
33200,CLLI
33200,CBRU
33200,ARBS
33200,CEST
33200,CFON
33200,CAVN
33201,CEST
33201,CSOR
33201,CTRE
33201,CORG
33201,ARBS
33201,CAVN
33202,CCAS
33202,CPAL
33205,CTRE
33206,CEST
33206,CSOR
33210,CLLI
33210,ARBS
33216,CTRE
33216,CEST
33216,CORG
33216,CAVN
33217,CEST
33217,ARBS
33218,CEST
33218,CSOR
33218,CTRE
33218,ARBS
33218,CAVN
33219,CLLI
33219,ARBS
33219,CEST
33220,CBRU
33220,ARBS
33221,CTRE
33221,CSOR
33221,ARBS
33221,CORG
33221,CAVN
33221,CLLI
33223,CBRU
33223,CBEU
